frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.000,1.000,0.0053
1,1,1,1.000,1.000,0.0058
2,1,1,1.000,1.000,0.0031
3,1,1,1.000,1.000,0.0009
4,1,1,1.000,1.000,-0.0009
5,1,1,1.000,1.000,-0.0012
6,1,1,1.000,1.000,-0.0015
7,1,1,1.000,1.000,-0.0033
8,1,1,1.000,1.000,-0.0027
9,1,1,1.000,1.000,-0.0074
10,1,1,1.000,1.000,-0.0113
11,1,1,1.000,1.000,-0.0154
12,1,1,1.000,1.000,-0.0197
13,1,1,1.000,1.000,-0.0232
14,1,1,1.000,1.000,-0.0244
15,1,1,1.000,1.000,-0.0253
16,1,1,1.000,1.000,-0.0272
17,1,1,1.000,1.000,-0.0286
18,1,1,1.000,1.000,-0.0255
19,1,1,1.000,1.000,-0.0231
20,1,1,1.000,1.000,-0.0206
21,1,1,1.000,1.000,-0.0196
22,1,1,1.000,1.000,-0.0147
23,1,1,1.000,1.000,-0.0107
24,1,1,1.000,1.000,-0.0101
25,1,1,1.000,1.000,-0.0102
26,1,1,1.000,1.000,-0.0103
27,1,1,1.000,1.000,-0.0109
28,1,1,1.000,1.000,-0.0124
29,1,1,1.000,1.000,-0.0136
30,1,1,1.000,1.000,-0.0194
31,1,1,1.000,1.000,-0.0240
32,1,1,1.000,1.000,-0.0293
33,1,1,1.000,1.000,-0.0335
34,1,1,1.000,1.000,-0.0358
35,1,1,1.000,1.000,-0.0392
36,1,1,1.000,1.000,-0.0420
37,1,1,1.000,1.000,-0.0463
38,1,1,1.000,1.000,-0.0498
39,1,1,1.000,1.000,-0.0525
40,1,1,1.000,1.000,-0.0547
41,1,1,1.000,1.000,-0.0560
42,1,1,1.000,1.000,-0.0570
43,1,1,1.000,1.000,-0.0599
44,1,1,1.000,1.000,-0.0612
45,1,1,1.000,1.000,-0.0622
46,1,1,1.000,1.000,-0.0625
47,1,1,1.000,1.000,-0.0627
48,1,1,1.000,1.000,-0.0650
49,1,1,1.000,1.000,-0.0668
50,1,1,1.000,1.000,-0.0699
51,1,1,1.000,1.000,-0.0729
52,1,1,1.000,1.000,-0.0763
53,1,1,1.000,1.000,-0.0738
54,1,1,1.000,1.000,-0.0733
55,1,1,1.000,1.000,-0.0714
56,1,1,1.000,1.000,-0.0698
57,1,1,1.000,1.000,-0.0686
58,1,1,1.000,1.000,-0.0724
59,1,1,1.000,1.000,-0.0770
60,1,1,1.000,1.000,-0.0812
61,1,1,1.000,1.000,-0.0846
62,1,1,1.000,1.000,-0.0883
63,1,1,1.000,1.000,-0.0887
64,1,1,1.000,1.000,-0.0895
65,1,1,1.000,1.000,-0.0901
66,1,1,1.000,1.000,-0.0907
67,1,1,1.000,1.000,-0.0916
68,1,1,1.000,1.000,-0.0924
69,1,1,1.000,1.000,-0.0930
70,1,1,1.000,1.000,-0.0935
71,1,1,1.000,1.000,-0.0949
72,1,1,1.000,1.000,-0.0961
73,1,1,1.000,1.000,-0.0970
74,1,1,1.000,1.000,-0.0977
75,1,1,1.000,1.000,-0.0983
76,1,1,1.000,1.000,-0.0999
77,1,1,1.000,1.000,-0.1011
78,1,1,1.000,1.000,-0.1031
79,1,1,1.000,1.000,-0.1058
80,1,1,1.000,1.000,-0.1064
81,1,1,1.000,1.000,-0.1068
82,1,1,1.000,1.000,-0.1067
83,1,1,1.000,1.000,-0.1055
84,1,1,1.000,1.000,-0.1045
85,1,1,1.000,1.000,-0.1000
86,1,1,1.000,1.000,-0.0970
87,1,1,1.000,1.000,-0.0967
88,1,1,1.000,1.000,-0.0964
89,1,1,1.000,1.000,-0.0973
