frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,0.950,1.000,-0.0027
1,1,1,0.960,1.000,-0.0032
2,1,1,0.958,1.000,-0.0036
3,1,1,0.956,1.000,-0.0039
4,1,1,0.965,1.000,-0.0053
5,1,1,0.972,1.000,-0.0074
6,1,1,0.978,1.000,-0.0091
7,1,1,0.972,1.000,-0.0105
8,1,1,0.968,1.000,-0.0084
9,1,1,0.974,1.000,-0.0083
10,1,1,0.979,1.000,-0.0082
11,1,1,0.983,1.000,-0.0098
12,1,1,0.947,1.000,-0.0131
13,1,1,0.917,1.000,-0.0158
14,1,1,0.934,1.000,-0.0174
15,1,1,0.947,1.000,-0.0187
16,1,1,0.918,1.000,-0.0202
17,1,1,0.894,1.000,-0.0215
18,1,1,0.915,1.000,-0.0193
19,1,1,0.932,1.000,-0.0176
20,1,1,0.946,1.000,-0.0151
21,1,1,0.957,1.000,-0.0153
22,1,1,0.965,1.000,-0.0143
23,1,1,0.972,1.000,-0.0136
24,1,1,0.978,1.000,-0.0135
25,1,1,0.982,1.000,-0.0124
26,1,1,0.986,1.000,-0.0115
27,1,1,0.989,1.000,-0.0124
28,1,1,0.981,1.000,-0.0189
29,1,1,0.975,1.000,-0.0242
30,1,1,0.970,1.000,-0.0262
31,1,1,0.966,1.000,-0.0279
32,1,1,0.963,1.000,-0.0339
33,1,1,0.960,1.000,-0.0388
34,1,1,0.968,1.000,-0.0379
35,1,1,0.974,1.000,-0.0388
36,1,1,0.980,1.000,-0.0395
37,1,1,0.974,1.000,-0.0449
38,1,1,0.969,1.000,-0.0492
39,1,1,0.965,1.000,-0.0520
40,1,1,0.962,1.000,-0.0544
41,1,1,0.960,1.000,-0.0573
42,1,1,0.958,1.000,-0.0596
43,1,1,0.966,1.000,-0.0604
44,1,1,0.973,1.000,-0.0610
45,1,1,0.978,1.000,-0.0615
46,1,1,0.983,1.000,-0.0641
47,1,1,0.986,1.000,-0.0661
48,1,1,0.989,1.000,-0.0656
49,1,1,0.991,1.000,-0.0652
50,1,1,0.993,1.000,-0.0697
51,1,1,0.954,1.000,-0.0711
52,1,1,0.963,1.000,-0.0728
53,1,1,0.961,1.000,-0.0736
54,1,1,0.969,1.000,-0.0732
55,1,1,0.965,1.000,-0.0750
56,1,1,0.962,1.000,-0.0764
57,1,1,0.970,1.000,-0.0776
58,1,1,0.976,1.000,-0.0779
59,1,1,0.981,1.000,-0.0809
60,1,1,0.944,1.000,-0.0833
61,1,1,0.916,1.000,-0.0852
62,1,1,0.892,1.000,-0.0872
63,1,1,0.874,1.000,-0.0894
64,1,1,0.899,1.000,-0.0927
65,1,1,0.919,1.000,-0.0954
66,1,1,0.895,1.000,-0.0964
67,1,1,0.906,1.000,-0.0957
68,1,1,0.915,1.000,-0.0951
69,1,1,0.922,1.000,-0.0952
70,1,1,0.928,1.000,-0.0952
71,1,1,0.942,1.000,-0.0974
72,1,1,0.954,1.000,-0.0991
73,1,1,0.953,1.000,-0.0973
74,1,1,0.952,1.000,-0.0964
75,1,1,0.952,1.000,-0.0957
76,1,1,0.922,1.000,-0.0972
77,1,1,0.897,1.000,-0.0984
78,1,1,0.878,1.000,-0.1010
79,1,1,0.892,1.000,-0.1047
80,1,1,0.914,1.000,-0.1044
81,1,1,0.921,1.000,-0.1090
82,1,1,0.937,1.000,-0.1089
83,1,1,0.949,1.000,-0.1104
84,1,1,0.960,1.000,-0.1117
