frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.000,0.651,-34.6063
1,1,1,1.000,0.651,34154249351001.6328
2,1,1,1.000,0.721,27323399480814.5625
3,1,1,1.000,0.737,30533254796376.2031
4,1,1,1.000,0.719,24426603837094.6602
5,1,1,1.000,0.736,19541283069680.0039
6,1,0,1.000,0.589,15633026455743.1035
7,1,1,1.000,0.601,12506421164590.0977
8,1,0,1.000,0.552,10005136931669.3945
9,1,1,1.000,0.641,8004109545337.6729
10,1,1,1.000,0.713,6403287636272.1045
11,1,1,1.000,0.701,5122630109025.5127
12,1,1,1.000,0.691,4098104087222.8770
13,1,1,1.000,0.743,1867231186675.1318
14,1,1,1.000,0.794,1493784949348.9570
15,1,1,1.000,0.766,44765535720512.0859
16,1,1,1.000,0.683,35812428576406.9531
17,1,1,1.000,0.646,-6019104253081.6914
18,1,1,1.000,0.618,-4815283402466.8994
19,1,1,1.000,0.625,-14355191780878.5449
20,1,1,1.000,0.630,-23513697400604.4102
21,1,1,1.000,0.604,-18810957920475.7539
22,1,0,1.000,0.583,-25369826259520.2109
23,1,1,1.000,0.627,-20295861007619.0078
24,1,1,1.000,0.638,-16236688806094.7324
25,1,1,1.000,0.671,-12989351044879.8672
26,1,1,1.000,0.697,-10391480835893.1992
27,1,1,1.000,0.748,-8313184668725.3486
28,1,1,1.000,0.758,-6650547734975.2412
29,1,1,1.000,0.797,-5320438187983.7959
30,1,1,1.000,0.828,2834965983418.6484
31,1,1,1.000,0.856,2267972786735.4062
32,1,1,1.000,0.852,1814378229388.1287
33,1,1,1.000,0.842,26467157213759.1328
34,1,1,1.000,0.834,51445778212472.8750
35,1,1,1.000,0.767,41156622569973.2500
36,1,1,1.000,0.744,61313886800333.6094
37,1,1,1.000,0.695,123454986780930.6250
38,1,1,1.000,0.756,99293142376598.5625
39,1,1,1.000,0.735,79434513901275.0312
40,1,1,1.000,0.718,63547611121019.2422
41,1,1,1.000,0.705,50838088896812.5469
42,1,1,1.000,0.665,40670471117447.9688
43,1,1,1.000,0.662,32536376893955.9844
44,1,1,1.000,0.631,26029101515170.5117
45,1,1,1.000,0.669,20823281212136.2969
46,1,1,1.000,0.735,16658624969709.2559
47,1,1,1.000,0.779,13326899975770.4141
48,1,1,1.000,0.753,10661519980609.5469
49,1,1,1.000,0.672,69720826742782.5781
50,1,1,1.000,0.638,46374193064797.9219
51,1,1,1.000,0.640,19614383517021.3750
52,1,1,1.000,0.642,55660044922047.1406
53,1,1,1.000,0.614,38485681537193.6328
54,1,1,1.000,0.621,23321175704350.7617
55,1,0,1.000,0.597,18656940563476.2266
56,1,1,1.000,0.638,14925552450773.9688
57,1,1,1.000,0.670,5415855147942.2432
58,1,1,1.000,0.644,4332684118354.7607
59,1,1,1.000,0.615,-5533727278793.3047
60,1,1,1.000,0.623,-4426981823027.6787
61,1,0,1.000,0.598,-29329114912193.4336
62,1,0,1.000,0.578,-51186553922764.8359
63,1,0,1.000,0.593,-40949243138218.0469
64,1,0,1.000,0.544,-57218131643290.3359
65,1,0,1.000,0.596,-45774505314642.8359
66,1,0,1.000,0.577,-51822445977975.2422
67,1,0,1.000,0.461,-41457956782380.9844
