frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.000,1.000,-0.2915
1,1,1,1.000,1.000,-0.2904
2,1,1,1.000,1.000,-0.3452
3,1,1,1.000,1.000,-0.3923
4,1,1,1.000,1.000,-0.3732
5,1,1,1.000,1.000,-0.3367
6,1,1,1.000,1.000,-0.2810
7,1,1,1.000,1.000,-0.3404
8,1,1,1.000,1.000,-0.3279
9,1,1,1.000,1.000,-0.3498
10,1,1,1.000,1.000,-0.3291
11,1,1,1.000,1.000,-0.3264
12,1,1,1.000,1.000,-0.2001
13,1,1,1.000,1.000,-0.2110
14,1,1,1.000,1.000,-0.2001
15,1,1,1.000,1.000,-0.2205
16,1,1,1.000,1.000,-0.2018
17,1,1,1.000,1.000,-0.2335
18,1,1,1.000,1.000,-0.2949
19,1,1,1.000,1.000,-0.4029
20,1,1,1.000,1.000,-0.4077
21,1,1,1.000,1.000,-0.4872
22,1,1,1.000,1.000,-0.4868
23,1,1,1.000,1.000,-0.5172
24,1,1,1.000,1.000,-0.4137
25,1,1,1.000,1.000,-0.4365
26,1,1,1.000,1.000,-0.4536
27,1,1,1.000,1.000,-0.4768
28,1,1,1.000,1.000,-0.4821
29,1,1,1.000,1.000,-0.5214
30,1,1,1.000,1.000,-0.6493
31,1,1,1.000,1.000,-0.6169
32,1,1,1.000,1.000,-0.5630
33,1,1,1.000,1.000,-0.5765
34,1,1,1.000,1.000,-0.5614
35,1,1,1.000,1.000,-0.5615
36,1,1,1.000,1.000,-0.5695
37,1,1,1.000,1.000,-0.5505
38,1,1,1.000,1.000,-0.4579
39,1,1,1.000,1.000,-0.4225
40,1,1,1.000,1.000,-0.4525
41,1,1,1.000,1.000,-0.5681
42,1,1,1.000,1.000,-0.6040
43,1,1,1.000,1.000,-0.5754
44,1,1,1.000,1.000,-0.5446
45,1,1,1.000,1.000,-0.5263
46,1,1,1.000,1.000,-0.5827
47,1,1,1.000,1.000,-0.6479
48,1,1,1.000,1.000,-0.6408
49,1,1,1.000,1.000,-0.6610
50,1,1,1.000,1.000,-0.6666
51,1,1,1.000,1.000,-0.5868
52,1,1,1.000,1.000,-0.6682
53,1,1,1.000,1.000,-0.7561
54,1,1,1.000,1.000,-0.8063
55,1,1,1.000,1.000,-0.8152
56,1,1,1.000,1.000,-0.8270
57,1,1,1.000,1.000,-0.9558
58,1,1,1.000,1.000,-1.0100
59,1,1,1.000,1.000,-0.9808
60,1,1,1.000,1.000,-0.9669
61,1,1,1.000,1.000,-0.8287
62,1,1,1.000,1.000,-0.8076
63,1,1,1.000,1.000,-0.8348
64,1,1,1.000,1.000,-0.8348
65,1,1,1.000,1.000,-0.9122
66,1,1,1.000,1.000,-0.9221
67,1,1,1.000,1.000,-0.8644
68,1,1,1.000,1.000,-0.8134
69,1,1,1.000,1.000,-0.6968
70,1,1,1.000,1.000,-0.5999
71,1,1,1.000,1.000,-0.7216
72,1,1,1.000,1.000,-0.6891
73,1,1,1.000,1.000,-0.6302
74,1,1,1.000,1.000,-0.5667
75,1,1,1.000,1.000,-0.5461
76,1,1,1.000,1.000,-0.5063
77,1,1,1.000,1.000,-0.5222
78,1,1,1.000,1.000,-0.5238
79,1,1,1.000,1.000,-0.4169
80,1,1,1.000,1.000,-0.3552
81,1,1,1.000,1.000,-0.3430
82,1,1,1.000,1.000,-0.3380
83,1,1,1.000,1.000,-0.3139
84,1,1,1.000,1.000,-0.3809
85,1,1,1.000,1.000,-0.3827
86,1,1,1.000,1.000,-0.3883
87,1,1,1.000,1.000,-0.3838
